City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,Tahe,CN,2021-10-24 14:58:57,52.3333,124.7333,34.38,82,61,3.0
248,Bodden Town,KY,2021-10-24 14:54:06,19.2833,-81.25,87.98,74,20,8.99
249,Kalemie,CD,2021-10-24 14:58:58,-5.9475,29.1947,80.8,61,78,3.36
250,Lisala,CD,2021-10-24 14:58:58,2.15,21.5167,80.62,72,88,1.72
251,Pierre,US,2021-10-24 14:58:59,44.3683,-100.351,44.85,86,90,5.99
252,Newport,GB,2021-10-24 14:58:59,51.5877,-2.9984,62.02,84,94,15.23
253,Linfen,CN,2021-10-24 14:59:00,36.0889,111.5189,56.39,62,8,2.64
254,Okmulgee,US,2021-10-24 14:59:00,35.6234,-95.9605,74.75,73,1,21.85
255,Nanortalik,GL,2021-10-24 14:59:00,60.1432,-45.2371,35.42,70,68,8.93
256,Sioux Lookout,CA,2021-10-24 14:56:54,50.1001,-91.917,30.58,93,75,4.61
257,Yabassi,CM,2021-10-24 14:59:01,4.457,9.9682,89.24,59,54,2.68
258,Raga,SS,2021-10-24 14:59:02,8.4596,25.678,90.09,49,42,1.45
259,Monrovia,LR,2021-10-24 14:55:56,6.3005,-10.7969,81.91,74,86,6.8
260,Port Keats,AU,2021-10-24 14:59:03,-14.25,129.55,81.82,75,97,7.11
261,Padang,ID,2021-10-24 14:59:03,-0.9492,100.3543,77.05,91,100,0.63
262,Ayia Marina,GR,2021-10-24 14:59:03,37.75,23.5333,68.09,72,100,22.28
263,Karratha,AU,2021-10-24 14:59:04,-20.7377,116.8463,79.54,56,6,9.91
264,Kodiak,US,2021-10-24 14:59:04,57.79,-152.4072,45.91,81,75,8.05
265,Codrington,AU,2021-10-24 14:59:05,-38.2667,141.9667,51.08,60,100,12.93
266,Carutapera,BR,2021-10-24 14:59:05,-1.195,-46.02,89.89,53,6,9.91
267,College,US,2021-10-24 14:54:58,64.8569,-147.8028,30.2,90,90,0.0
268,Altay,CN,2021-10-24 14:59:06,47.8667,88.1167,31.48,55,0,4.68
269,Novoorsk,RU,2021-10-24 14:59:06,51.381,58.9813,54.25,33,94,12.84
270,Northam,GB,2021-10-24 14:59:06,51.0333,-4.2167,62.65,84,5,15.08
271,Mumbwa,ZM,2021-10-24 14:59:07,-14.9783,27.0619,91.35,20,89,1.9
272,Chernyshevskiy,RU,2021-10-24 14:59:07,63.0128,112.4714,30.88,97,100,8.28
273,Lavrentiya,RU,2021-10-24 14:59:08,65.5833,-171.0,21.97,85,100,10.74
274,Zhicheng,CN,2021-10-24 14:59:08,30.2956,111.5047,57.78,60,48,3.22
275,Ponta Do Sol,PT,2021-10-24 14:59:08,32.6667,-17.1,74.01,50,37,5.86
276,Praia,CV,2021-10-24 14:59:09,14.9215,-23.5087,86.54,54,20,21.85
277,Cabo San Lucas,MX,2021-10-24 14:56:31,22.8909,-109.9124,77.5,72,2,10.76
278,Santa Comba,ES,2021-10-24 14:59:09,43.0331,-8.8093,61.32,78,73,5.28
279,Romny,UA,2021-10-24 14:59:10,50.751,33.4747,41.49,68,100,13.04
280,Tacna,PE,2021-10-24 14:59:10,-18.0056,-70.2483,58.1,72,90,2.3
281,Terrace,CA,2021-10-24 14:57:11,54.5163,-128.6035,39.11,87,20,26.46
282,Trairi,BR,2021-10-24 14:54:03,-3.2778,-39.2689,88.18,53,65,15.32
283,Marystown,CA,2021-10-24 14:59:11,47.1666,-55.1483,59.86,100,100,5.99
284,Bronnitsy,RU,2021-10-24 14:59:11,55.4194,38.2708,37.72,75,75,15.66
285,Ous,RU,2021-10-24 14:59:12,60.9058,61.5186,33.39,90,100,3.6
286,Zhigansk,RU,2021-10-24 14:59:12,66.7697,123.3711,20.88,94,92,8.72
287,Ozernovskiy,RU,2021-10-24 14:59:13,51.5,156.5167,38.14,70,90,15.37
288,Poum,NC,2021-10-24 14:56:08,-20.2333,164.0167,73.72,79,32,8.1
289,La Asuncion,VE,2021-10-24 14:59:13,11.0333,-63.8628,82.72,73,67,16.17
290,Zambezi,ZM,2021-10-24 14:59:14,-13.5432,23.1047,93.79,25,84,4.14
291,Knysna,ZA,2021-10-24 14:59:14,-34.0363,23.0471,64.78,55,35,6.87
292,Atar,MR,2021-10-24 14:59:15,20.5169,-13.0499,99.75,13,5,7.92
