City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,West Wendover,US,40.7391,-114.0733,45.61,81,75,8.05,light rain
301,Lisala,CD,2.15,21.5167,69.37,99,100,3.44,light rain
302,Staryy Nadym,RU,65.6118,72.6842,24.26,83,17,15.86,few clouds
303,Althofen,AT,46.8818,14.4676,41.05,93,0,1.95,clear sky
304,Lulea,SE,65.5842,22.1547,39.27,93,75,10.36,broken clouds
305,Goundi,TD,9.3627,17.366,77.68,71,58,2.39,broken clouds
306,Mangrol,IN,21.1167,70.1167,79.32,64,0,6.04,clear sky
307,Naryan-Mar,RU,67.6713,53.087,19.26,97,77,2.44,broken clouds
308,Roma,US,43.2128,-75.4557,58.12,60,53,1.01,broken clouds
309,Virginia Beach,US,36.8529,-75.978,78.04,59,20,9.22,few clouds
310,Tibagi,BR,-24.5094,-50.4136,64.9,89,100,2.24,overcast clouds
311,Luchegorsk,RU,46.4764,134.2569,36.32,75,3,3.87,clear sky
312,Sao Felix Do Xingu,BR,-6.6447,-51.995,86.72,57,81,3.42,broken clouds
313,Esperance,AU,-33.8667,121.9,67.84,35,100,21.5,overcast clouds
314,Eyl,SO,7.9803,49.8164,78.17,78,68,9.42,broken clouds
315,Whitianga,NZ,-36.8333,175.7,61.02,98,100,7.67,overcast clouds
316,Galeana,MX,24.8333,-100.0667,80.31,32,100,5.12,overcast clouds
317,Swan Hill,AU,-35.3378,143.5544,38.93,83,0,6.93,clear sky
318,Kaitangata,NZ,-46.2817,169.8464,53.8,85,100,0.25,overcast clouds
319,Lodja,CD,-3.4833,23.4333,70.9,99,52,2.1,broken clouds
320,Nome,US,64.5011,-165.4064,25.11,95,100,2.68,light snow
321,Kongoussi,BF,13.3258,-1.5347,85.19,48,79,4.34,broken clouds
322,Ambositra,MG,-20.5167,47.25,62.92,89,5,1.36,clear sky
323,Okhotsk,RU,59.3833,143.3,17.49,85,68,8.21,broken clouds
324,Ordu,TR,40.9086,37.6845,44.53,95,100,7.67,light rain
325,Mogadishu,SO,2.0371,45.3438,79.86,80,24,14.52,few clouds
326,Labytnangi,RU,66.6572,66.4183,19.02,87,71,9.66,broken clouds
327,Kaihua,CN,23.3687,104.28,55.4,94,100,2.53,overcast clouds
328,Villa Carlos Paz,AR,-31.4241,-64.4978,82.38,29,0,15.99,clear sky
329,Ilo,PE,-17.6394,-71.3375,63.19,75,1,5.88,clear sky
330,Manaure,CO,11.7751,-72.4445,90.79,53,46,17.11,scattered clouds
331,Beyneu,KZ,45.3167,55.2,55.58,36,99,9.22,overcast clouds
332,Honiara,SB,-9.4333,159.95,79.52,83,7,2.89,clear sky
333,Kirakira,SB,-10.4544,161.9205,80.87,82,17,7.87,few clouds
334,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,85.6,69,100,1.74,overcast clouds
335,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,74,5,6.15,clear sky
336,Nioro,GM,13.35,-15.75,82.53,74,100,4.63,overcast clouds
337,Barcelos,PT,41.5388,-8.6151,62.85,72,97,0.78,overcast clouds
338,Fez,MA,34.0372,-4.9998,69.91,39,0,4.61,clear sky
339,Nouadhibou,MR,20.931,-17.0347,71.58,68,93,18.41,overcast clouds
340,La Ronge,CA,55.1001,-105.2842,39.45,75,75,17.27,broken clouds
341,Gazanjyk,TM,39.2446,55.5154,58.62,65,0,7.65,clear sky
342,Kattivakkam,IN,13.2167,80.3167,80.69,80,82,7.63,broken clouds
343,Poum,NC,-20.2333,164.0167,74.14,79,14,9.46,few clouds
